place,occ,chapter,img,word_occ,line_median,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,lng_srt
London,65,14.0,"[  16   17   25   63  180  372  436  444  540  685  723  745  804  860
  941  947 1029 1049 1091 1103 1178 1189 1219 1222 1227 1266 1286 1293
 1480 1576 1579 1582 1683 1805 2672 2943 3455 3696 3739 3800 4174 4385
 4877 4909 4914 4916 4925 4943 5091 5191 6801 6831 6859 7069 7182 7214
 7242 7261 7279 7310 7342 7371 7379 7385 7632 7755 7811 7829 7833]",69,2672,London,London,51.5,-0.1167,United Kingdom,GB,GBR,,primary,8567000.0,1826645935.0,-0.1167
Dover,3,3.0,[533 591 623],3,591,Dover,Dover,51.1337,1.3,United Kingdom,GB,GBR,Kent,,36384.0,1826963129.0,1.3
Paris,12,6.0,[ 134  208  626  674 1091 1092 1101 1147 1592 4505 4676 5091],12,1096,Paris,Paris,48.8667,2.3333,France,FR,FRA,Île-de-France,primary,9904000.0,1250015082.0,2.3333
Brindisi,1,2.0,[ 369  437  837  840  874  876 1094 1101 1312],9,874,Brindisi,Brindisi,40.6403,17.93,Italy,IT,ITA,Puglia,minor,104437.0,1380201254.0,17.93
Suez,2,4.0,"[ 368  436  438  804  837  838  840  845  857  925  928  931  936 1061
 1096 1102 1108 1134 1179 1230 1276 1307 1365 1370 1592 2866 3147]",27,1061,Suez,Suez,30.005,32.5499,Egypt,EG,EGY,As Suways,admin,508335.0,1818495972.0,32.5499
Aden,8,8.0,[ 928 1307 1432 1442 1445 1450 4914],7,1442,Aden,Aden,12.7797,45.0095,Yemen,YE,YEM,‘Adan,admin,1000000.0,1887867886.0,45.0095
Mumbai,59,9.0,"[ 438  439  809  838  840  931 1055 1102 1215 1230 1232 1236 1287 1313
 1355 1364 1382 1402 1439 1460 1469 1471 1478 1498 1520 1522 1527 1542
 1576 1577 1581 1586 1591 1605 1642 1701 1774 1844 2176 2255 2496 2672
 2785 2827 2829 2832 2843 2866 2878 3021 3042 3060 3091 3111 3148 3275
 3521 4914 4957 5009]",60,1579,Mumbai,Mumbai,19.017,72.857,India,IN,IND,Mahārāshtra,admin,18978000.0,1356226629.0,72.857
Bangalore,2,11.0,[1498 2661 2999 3101],4,2830,Bangalore,Bangalore,12.97,77.56,India,IN,IND,Karnātaka,admin,6787000.0,1356410365.0,77.56
Chennai,3,9.0,[1498 1508 2496],3,1508,Chennai,Chennai,13.09,80.28,India,IN,IND,Tamil Nādu ,admin,7163000.0,1356374944.0,80.28
Allahabad,5,10.0,"[ 432 1530 1838 1849 1855 1915 1919 1951 2019 2029 2047 2054 2375 2501
 2511 2558]",16,1985,Allahabad,Allahabad,25.455,81.84,India,IN,IND,Uttar Pradesh,,1201000.0,1356718332.0,81.84
Kolkata,1,6.0,"[ 439  440 1102 1313 1497 1520 1522 1533 1536 1593 1643 1844 1865 1867
 2496 2503 2504 2666 2669 2843 2850 2855 2866 2893 2964 3017 3043 3061
 3098 3112 3521 4462 4914]",33,2504,Kolkata,Kolkata,22.495,88.3247,India,IN,IND,West Bengal,admin,14787000.0,1356060520.0,88.3247
Singapore,12,16.0,[1102 3026 3076 3082 3180 3189 3214 3217 3224 3521 4915],11,3189,Singapore,Singapore,1.293,103.8558,Singapore,SG,SGP,,primary,5183700.0,1702341327.0,103.8558
Macau,3,18.0,[3509 3510 3863],3,3510,Macau,Macau,22.203,113.545,Macau,MO,MAC,,,568700.0,1446227359.0,113.545
Hong Kong,60,16.0,"[ 440  441 1102 1866 2505 2608 2611 2667 2686 2740 2964 2989 3025 3027
 3028 3031 3033 3040 3043 3067 3070 3076 3091 3094 3121 3152 3218 3244
 3269 3298 3364 3401 3411 3437 3450 3457 3475 3505 3510 3514 3520 3542
 3564 3688 3739 3841 3846 3850 3917 3981 4171 4340 4427 4461 4850 4857
 5010 6915]",58,3283,Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,,,7206000.0,1344982653.0,114.185
Shanghai,17,20.0,"[3932 3933 3938 3942 3948 3953 4050 4162 4256 4260 4286 4288 4294 4303
 4305 4823 4850]",17,4256,Shanghai,Shanghai,31.2165,121.4365,China,CN,CHN,Shanghai,admin,14987000.0,1156073548.0,121.4365
Nagasaki,2,21.0,[3931 3938 3941 4830],4,3939,Nagasaki,Nagasaki,32.765,129.885,Japan,JP,JPN,Nagasaki,admin,435455.0,1392162566.0,129.885
Yokohama,32,20.0,"[ 441  442 1102 3072 3221 3248 3354 3397 3402 3411 3449 3451 3452 3804
 3858 3884 3889 3895 3916 3937 3941 4048 4089 4110 4172 4288 4312 4415
 4444 4456 4468 4475 4544 4825 4830 4865 4906 4915 4954 5011]",40,3939,Yokohama,Yokohama,35.32,139.58,Japan,JP,JPN,Kanagawa,admin,3697894.0,1392118339.0,139.58
San Francisco,29,24.0,"[ 442  443 1102 3449 3890 3940 4090 4610 4711 4838 4865 4876 4901 5034
 5076 5090 5125 5273 5299 5302 5309 5381 5383 5692 6436 6473]",26,4967,San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,California,,3603761.0,1840021543.0,237.55700000000002
Sacramento,7,25.0,[5052 5331 5381 5382 5384 5387 5392],7,5382,Sacramento,Sacramento,38.5667,-121.4683,United States,US,USA,California,admin,1854698.0,1840021491.0,238.5317
Ogden,5,26.0,[5299 5617 5619 5690],4,5618,Ogden,Ogden,41.228,-111.9677,United States,US,USA,Utah,,573632.0,1840020135.0,248.03230000000002
Omaha,22,28.5,"[5300 5304 5316 5325 5355 5383 5884 6050 6055 6136 6436 6453 6563 6640
 6667 6670 6686 6693 6719 6744 6758 6761 6766]",23,6453,Omaha,Omaha,41.2628,-96.0495,United States,US,USA,Nebraska,,827786.0,1840009315.0,263.95050000000003
Chicago,7,30.0,[6132 6641 6761 6772 6776 6777 6778],7,6772,Chicago,Chicago,41.8373,-87.6861,United States,US,USA,Illinois,,8675982.0,1840000494.0,272.3139
New York,28,27.5,"[ 369  443  444 1103 4877 4901 4902 5065 5092 5300 5302 5309 5336 5768
 6026 6128 6334 6597 6603 6641 6713 6776 6915 6999 7086 7087 7183 7688]",28,5897,New York,New York,40.6943,-73.9249,United States,US,USA,New York,,19354922.0,1840034016.0,286.0751
Dublin,3,32.0,[7235 7236 7255],3,7236,Dublin,Dublin,53.3331,-6.2489,Ireland,IE,IRL,Dublin,primary,1059000.0,1372595407.0,353.7511
Liverpool,6,31.5,"[ 368 4902 5336 6598 6715 6787 6801 6831 6883 6885 6887 6981 6988 6999
 7029 7087 7095 7134 7184 7215 7237 7241 7259 7308 7310 7335 7455 7659]",28,7014,Liverpool,Liverpool,53.416,-2.918,United Kingdom,GB,GBR,Liverpool,admin,811000.0,1826558678.0,357.082
